frames,neutral,happy,sad,angry,fearful,disgusted,surprised
0,0.9999980926513672,3.980908900302893e-07,5.238753786329653e-08,8.053199280766421e-07,2.741940355321937e-12,4.318103918876659e-08,3.758732987080293e-07
1,0.9999980926513672,3.980908900302893e-07,5.238753786329653e-08,8.053199280766421e-07,2.741940355321937e-12,4.318103918876659e-08,3.758732987080293e-07
2,0.9999980926513672,4.939541327075858e-07,7.954831460210698e-08,9.468537882639794e-07,4.158242326857131e-12,1.95075653408594e-08,4.491147933549655e-07
3,0.9993492960929871,0.00016528194828424603,2.9782644560327753e-05,0.00014011317398399115,6.019390070832742e-07,5.870799100193835e-07,0.00031430862145498395
4,0.9993650913238525,6.427254265872762e-05,1.7383992599206977e-05,0.00010202969860984012,1.1021730870197644e-06,4.2215441453663516e-07,0.0004497472255025059
5,0.9993650913238525,6.427254265872762e-05,1.7383992599206977e-05,0.00010202969860984012,1.1021730870197644e-06,4.2215441453663516e-07,0.0004497472255025059
6,0.9995123147964478,3.739073144970462e-05,2.448135637678206e-05,9.274524927604944e-05,2.9225665798549016e-07,1.8286337422068755e-07,0.00033266807440668344
7,0.999139666557312,2.4524619220755994e-05,1.0502762052055914e-05,0.00016108175623230636,4.851655717175163e-07,1.0744825118536028e-07,0.0006635555764660239
8,0.9995123147964478,3.739073144970462e-05,2.448135637678206e-05,9.274524927604944e-05,2.9225665798549016e-07,1.8286337422068755e-07,0.00033266807440668344
9,0.9995123147964478,3.739073144970462e-05,2.448135637678206e-05,9.274524927604944e-05,2.9225665798549016e-07,1.8286337422068755e-07,0.00033266807440668344
10,0.999550461769104,6.024050526320934e-05,1.2191822861495893e-05,5.208883521845564e-05,6.376278633979382e-07,3.2347742262572865e-07,0.00032415700843557715
11,0.9998888969421387,3.6547153285937384e-06,1.1323543276375858e-06,4.424349026521668e-05,1.0204313838357848e-08,5.923996582168911e-08,6.211449363036081e-05
12,0.9996810555458069,1.3458206922223326e-05,2.152590241166763e-06,8.36188264656812e-05,6.430765608911315e-08,1.7227579007794702e-07,0.0002196283603552729
13,0.9996810555458069,1.3458206922223326e-05,2.152590241166763e-06,8.36188264656812e-05,6.430765608911315e-08,1.7227579007794702e-07,0.0002196283603552729
14,0.9996810555458069,1.3458206922223326e-05,2.152590241166763e-06,8.36188264656812e-05,6.430765608911315e-08,1.7227579007794702e-07,0.0002196283603552729
15,0.9997087717056274,4.440185421117349e-06,3.269661306148919e-07,1.5257882068908657e-06,1.131271165633052e-08,2.581061231410331e-08,0.0002850501041393727
16,0.9997087717056274,4.440185421117349e-06,3.269661306148919e-07,1.5257882068908657e-06,1.131271165633052e-08,2.581061231410331e-08,0.0002850501041393727
17,0.9997087717056274,4.440185421117349e-06,3.269661306148919e-07,1.5257882068908657e-06,1.131271165633052e-08,2.581061231410331e-08,0.0002850501041393727
18,0.9996262192726135,4.0131908463081345e-06,7.221207738439261e-07,1.1142765288241208e-06,1.4787726598797235e-08,3.2498203239583745e-08,0.0003677028289530426
19,0.9998140931129456,6.443112943088636e-05,4.887928753305459e-06,3.100539515799028e-06,3.62997880642979e-08,5.863445906584275e-08,0.0001133380937972106
20,0.9998140931129456,6.443112943088636e-05,4.887928753305459e-06,3.100539515799028e-06,3.62997880642979e-08,5.863445906584275e-08,0.0001133380937972106
21,0.9999495148658752,2.3772390704834834e-05,4.007898951385869e-06,1.7044977767000091e-06,3.122939773447797e-08,1.1589871284911624e-08,2.0923675037920475e-05
22,0.9999495148658752,2.3772390704834834e-05,4.007898951385869e-06,1.7044977767000091e-06,3.122939773447797e-08,1.1589871284911624e-08,2.0923675037920475e-05
23,0.9999818801879883,1.1523300145199755e-06,5.3573970149045635e-08,1.8977830862354494e-08,8.41047023691921e-12,1.7605792379526974e-09,1.671207428444177e-05
24,0.9999837875366211,6.341524567687884e-07,4.4385952691072816e-08,1.304097274612559e-08,5.3913614024569956e-12,2.1890673718161224e-09,1.593026718182955e-05
25,0.9999837875366211,6.341524567687884e-07,4.4385952691072816e-08,1.304097274612559e-08,5.3913614024569956e-12,2.1890673718161224e-09,1.593026718182955e-05
26,0.9999837875366211,6.341524567687884e-07,4.4385952691072816e-08,1.304097274612559e-08,5.3913614024569956e-12,2.1890673718161224e-09,1.593026718182955e-05
