frames,neutral,happy,sad,angry,fearful,disgusted,surprised
0,0.9947872757911682,0.0010997181525453925,1.5218918633763678e-05,0.001849232823587954,1.1516370932440623e-06,2.880786951209302e-07,0.002247181721031666
1,0.9977328777313232,0.0002483166172169149,1.8997659481101437e-06,6.671952723991126e-05,1.0540571082628958e-07,5.953431525540509e-08,0.0019497891189530492
2,0.9977328777313232,0.0002483166172169149,1.8997659481101437e-06,6.671952723991126e-05,1.0540571082628958e-07,5.953431525540509e-08,0.0019497891189530492
3,0.9995976686477661,6.750506599928485e-06,1.4250283584260615e-06,3.352603016537614e-05,2.6875348169141944e-08,2.822977851479891e-09,0.0003605563542805612
4,0.9995976686477661,6.750506599928485e-06,1.4250283584260615e-06,3.352603016537614e-05,2.6875348169141944e-08,2.822977851479891e-09,0.0003605563542805612
5,0.9995976686477661,6.750506599928485e-06,1.4250283584260615e-06,3.352603016537614e-05,2.6875348169141944e-08,2.822977851479891e-09,0.0003605563542805612
6,0.999604344367981,5.549659363168757e-06,8.618391120762681e-07,1.9739562048926018e-05,2.6931475716196474e-08,1.2494337786606025e-09,0.000369594112271443
7,0.999604344367981,5.549659363168757e-06,8.618391120762681e-07,1.9739562048926018e-05,2.6931475716196474e-08,1.2494337786606025e-09,0.000369594112271443
8,0.999604344367981,5.549659363168757e-06,8.618391120762681e-07,1.9739562048926018e-05,2.6931475716196474e-08,1.2494337786606025e-09,0.000369594112271443
9,0.9999247193336487,2.0041271397985838e-07,2.0397835669427877e-06,1.8449644585416536e-06,1.6967121041489008e-09,5.392936791581704e-11,7.149126759031788e-05
10,0.9998102784156799,3.821264442649408e-07,8.872120815794915e-06,2.9027430628048023e-06,1.6242807987509877e-08,5.3830922358555355e-11,0.0001779852609615773
11,0.9995394945144653,9.530201623419998e-07,8.082371095952112e-06,3.3378623811586294e-06,1.0291334007206387e-07,7.254086914487701e-11,0.0004478953196667135
12,0.9998383522033691,1.5057590019296185e-07,6.426354048016947e-06,4.724246082332684e-06,5.737986974452269e-09,7.054375833481785e-11,0.00015015403914730996
13,0.9998383522033691,1.5057590019296185e-07,6.426354048016947e-06,4.724246082332684e-06,5.737986974452269e-09,7.054375833481785e-11,0.00015015403914730996
14,0.9999713897705078,3.4900506307167234e-07,4.458603655166371e-07,5.625547032650502e-07,2.983232549880199e-10,1.1858447557244745e-10,2.7219355615670793e-05
15,0.9999828934669495,3.70544057659572e-07,6.624809429922607e-06,1.2253017303009983e-06,1.2528778015052922e-10,7.867978490949668e-11,8.887242074706592e-06
16,0.9999828934669495,3.70544057659572e-07,6.624809429922607e-06,1.2253017303009983e-06,1.2528778015052922e-10,7.867978490949668e-11,8.887242074706592e-06
17,0.9999828934669495,3.70544057659572e-07,6.624809429922607e-06,1.2253017303009983e-06,1.2528778015052922e-10,7.867978490949668e-11,8.887242074706592e-06
18,0.9999723434448242,3.132479378109565e-06,4.1371464476469555e-07,4.74357300106476e-08,6.035288588335241e-12,2.916487884530028e-10,2.435577698634006e-05
19,0.9994345903396606,7.5499351623875555e-06,8.333124128512281e-07,1.5964086230724206e-07,3.5693694527827446e-11,1.0566355568286667e-09,0.000556928338482976
