frames,neutral,happy,sad,angry,fearful,disgusted,surprised
0,0.9999470710754395,1.3934460184827913e-05,3.107074007857591e-05,8.159026947396342e-07,1.2426564666156992e-08,1.6589550566603606e-10,6.91724608259392e-06
1,0.9999256134033203,1.886836253106594e-05,4.05651044275146e-05,2.1443729565362446e-06,3.043530583113352e-08,4.699479139169682e-10,1.2986379260837566e-05
2,0.9999675750732422,1.3652523193741217e-05,2.4899927666410804e-06,1.256490349987871e-06,1.0924446902649265e-09,6.352727677239045e-09,1.4768499568162952e-05
3,0.9999675750732422,1.3652523193741217e-05,2.4899927666410804e-06,1.256490349987871e-06,1.0924446902649265e-09,6.352727677239045e-09,1.4768499568162952e-05
4,0.9999476075172424,1.667563628870994e-05,4.5027768464933615e-06,2.2846802494314034e-06,2.326106418593099e-09,9.027655956117542e-09,2.9087666916893795e-05
5,0.9999685883522034,4.4581138354260474e-06,6.38701136423947e-09,6.05942432230222e-07,5.301299399462778e-10,6.856472278826686e-09,2.6595263989293016e-05
6,0.9999685883522034,4.4581138354260474e-06,6.38701136423947e-09,6.05942432230222e-07,5.301299399462778e-10,6.856472278826686e-09,2.6595263989293016e-05
7,0.999977171421051,1.0494308298802935e-05,7.2005210682846155e-09,6.77465550324996e-08,1.438757030181037e-10,3.380773661021408e-09,1.2191967471153475e-05
8,0.9997707009315491,0.00021701521473005414,8.192101574877597e-08,1.351426419660129e-07,2.592446257665415e-10,6.940936714272539e-08,1.17907702588127e-05
9,0.9995204210281372,0.00042470957851037383,9.241155396466638e-08,5.343539442037581e-07,2.644814367513959e-09,1.5607992054356146e-07,5.420426532509737e-05
10,0.9995237588882446,0.00042799999937415123,8.365886827732538e-08,5.237950517766876e-07,2.0282127088933066e-09,1.1619834339171575e-07,4.759657531394623e-05
11,0.9996958374977112,0.0002541189605835825,2.234276479384789e-07,9.218896934726217e-07,1.3540109033982617e-09,5.082665666122921e-07,4.846994488616474e-05
12,0.9999179840087891,6.665992259513587e-05,1.622417897806372e-07,4.88451121327671e-07,5.46197087558653e-10,7.05583929061504e-08,1.4916020518285222e-05
13,0.9999179840087891,6.665992259513587e-05,1.622417897806372e-07,4.88451121327671e-07,5.46197087558653e-10,7.05583929061504e-08,1.4916020518285222e-05
14,0.9999499917030334,4.4590480683837086e-05,3.3811801358751836e-07,3.338683427500655e-07,1.0049944904055863e-10,3.110434221298419e-08,4.654395979741821e-06
15,0.9999499917030334,4.4590480683837086e-05,3.3811801358751836e-07,3.338683427500655e-07,1.0049944904055863e-10,3.110434221298419e-08,4.654395979741821e-06
16,0.9999499917030334,4.4590480683837086e-05,3.3811801358751836e-07,3.338683427500655e-07,1.0049944904055863e-10,3.110434221298419e-08,4.654395979741821e-06
17,0.9998636245727539,0.00011612652451731265,1.0992873455961671e-07,4.2358897189842537e-07,8.880971513747227e-10,5.099277089470888e-08,1.976165185624268e-05
18,0.9998636245727539,0.00011612652451731265,1.0992873455961671e-07,4.2358897189842537e-07,8.880971513747227e-10,5.099277089470888e-08,1.976165185624268e-05
19,0.999812662601471,0.00015964558406267315,1.49078204003672e-07,4.20317178395635e-07,7.847024696694405e-10,4.623608518272704e-08,2.7388798116589896e-05
20,0.9996339082717896,0.00030528230126947165,3.65158115300801e-07,4.0263387290906394e-07,2.480258221027043e-09,3.718529129059789e-08,6.003997987136245e-05
21,0.9996339082717896,0.00030528230126947165,3.65158115300801e-07,4.0263387290906394e-07,2.480258221027043e-09,3.718529129059789e-08,6.003997987136245e-05
22,0.9997125267982483,0.000254663493251428,1.9603429279868578e-07,3.123154499462544e-07,8.796834927160546e-10,6.037880950771068e-08,3.201164508936927e-05
23,0.999794065952301,0.00014309051039163023,5.467273211934298e-08,4.1991893340309616e-07,9.929943534103813e-10,6.817171538386901e-08,6.237074558157474e-05
24,0.999794065952301,0.00014309051039163023,5.467273211934298e-08,4.1991893340309616e-07,9.929943534103813e-10,6.817171538386901e-08,6.237074558157474e-05
