frames,neutral,happy,sad,angry,fearful,disgusted,surprised
0,0.9988591074943542,3.7280683500284795e-06,1.121502100431826e-05,0.0011174820829182863,4.462177849440252e-11,5.465668451165584e-08,8.553348379791714e-06
1,0.9998455047607422,3.366162218298996e-06,3.815791842498584e-06,0.00014401247608475387,4.725371482994234e-11,1.8657995326520904e-07,3.0942494504415663e-06
2,0.9998612403869629,6.035510068613803e-06,7.563661711174063e-06,0.0001173072014353238,2.5426136890382978e-11,4.386993168736808e-07,7.171296601882204e-06
3,0.9999346733093262,3.1034855055622756e-05,1.012055690807756e-06,2.2860909666633233e-05,2.799518429574821e-11,4.15952797538921e-07,9.931423846865073e-06
4,0.9998412132263184,2.1583493435173295e-05,1.608831917110365e-05,9.43334453040734e-05,2.432424539566824e-10,3.8796471812929667e-07,2.62406247202307e-05
5,0.9999756813049316,8.01292662799824e-06,5.901865165469644e-07,9.757998668646906e-06,1.1821490834840187e-11,9.310195281386768e-08,5.7365750762983225e-06
6,0.9951152801513672,4.671848728321493e-05,0.00034909960231743753,0.0044556367211043835,3.2976623653979686e-09,1.0380193089076784e-05,2.2818197976448573e-05
7,0.9995680451393127,2.863920235540718e-05,7.5897560236626305e-06,0.00035092976759187877,7.970307053239978e-11,2.4223022592195775e-06,4.245745367370546e-05
8,0.9990634322166443,1.8346001525060274e-05,3.090726750087924e-05,0.0008364568930119276,5.013982562473984e-10,8.509123290423304e-06,4.242754584993236e-05
9,0.9999289512634277,1.767975300026592e-05,4.171786713413894e-06,4.670520866056904e-05,3.7345217196449454e-11,5.557280502443973e-08,2.5307442683697445e-06
10,0.999022901058197,6.5379390434827656e-06,2.0541765479720198e-05,0.0009407837060280144,1.2244565084085224e-10,2.8078952141186164e-07,8.592234735260718e-06
11,0.9998016357421875,5.704357135982718e-06,2.3503323518525576e-06,0.0001881792559288442,1.1755921236478173e-10,5.9486083614501695e-08,1.6809418639240903e-06
12,0.9997568130493164,1.3705691344512161e-05,5.734853402827866e-06,0.00019838912703562528,8.301775239472065e-11,4.8877993208407133e-08,2.5305904273409396e-05
13,0.9995470643043518,8.836826964397915e-06,2.919353619290632e-06,0.00043761226697824895,4.102723022425536e-11,4.2346295003881096e-07,2.916714720413438e-06
14,0.9999737739562988,2.5716633444972103e-06,1.744912083267991e-06,2.016350845224224e-05,1.2038033764261158e-11,2.886608951868652e-09,1.5329883353842888e-06
15,0.9996352791786194,1.950151454366278e-05,7.489351446565706e-06,0.00024178947205655277,3.669676784667786e-10,6.950044735276606e-07,9.519534069113433e-05
16,0.9997768998146057,3.420814755372703e-05,3.211015155102359e-06,5.938698450336233e-05,8.964312070425251e-10,4.933373475068947e-06,0.00012111542309867218
17,0.9998741149902344,5.178855644771829e-06,5.5216655709955376e-06,7.582920807180926e-05,2.977031121620399e-11,1.621221343839352e-07,3.932214531232603e-05
18,0.9999856352806091,6.557771484949626e-06,1.3482160454714176e-07,5.202503416512627e-06,7.054469313393097e-13,4.752882034608774e-07,2.0133422822254943e-06
19,0.9994675517082214,5.208986476645805e-05,5.075104127172381e-05,0.00042338031926192343,2.9506914273058626e-11,5.179444997338578e-07,5.855830295331543e-06
20,0.9999384880065918,1.2224700185470283e-05,1.0077177421408123e-06,1.9277218598290347e-05,6.685414999374473e-10,4.355019811441707e-08,2.8898748496430926e-05
21,0.9994127154350281,0.00010987451969413087,3.9001406548777595e-06,3.725589704117738e-05,4.618989635218895e-09,8.631515129309264e-07,0.0004351404495537281
22,0.9997696876525879,1.011767926684115e-05,9.047954335983377e-06,0.00014335938612930477,1.29092486700344e-10,4.898693077848293e-07,6.704199040541425e-05
23,0.9999441504478455,4.159962372796144e-06,3.858903710352024e-06,4.4880816858494654e-05,1.4057939708156386e-11,5.021013649297856e-08,2.9123914373485604e-06
24,0.9998989105224609,3.1934248454490444e-06,6.661432962573599e-06,8.16755709820427e-05,3.887652352818627e-11,3.737692466643239e-08,9.564837455400266e-06
25,0.9998221397399902,1.3136193956597708e-05,4.148165317019448e-06,0.00014311149425338954,1.0881664319617457e-10,2.037616582128976e-07,1.7205133190145716e-05
26,0.9996200203895569,0.0003385106392670423,9.186072134070855e-07,2.1692199879908003e-05,4.78205253173769e-10,1.3046868616584106e-06,1.7443180695408955e-05
27,0.999995231628418,3.159267635055585e-06,3.4025116946168055e-08,8.672797662256926e-07,6.708621830796291e-13,7.411577462868024e-10,4.612319344232674e-07
28,0.9997968673706055,2.4074915927485563e-05,6.7029986894340254e-06,8.094855002127588e-05,6.770152216617475e-10,3.6121599578109453e-07,9.106060315389186e-05
29,0.9998149871826172,3.872349680023035e-06,1.535294359200634e-05,0.00016095518367365003,6.510770221568318e-12,6.389004170159751e-08,4.959866146236891e-06
30,0.9999213218688965,2.998318086611107e-05,1.5804484974069055e-06,2.5605202608858235e-05,2.0862192529058632e-10,7.001052892974258e-08,2.1149769963813014e-05
31,0.9992225170135498,5.06693177158013e-05,1.1210884622414596e-05,0.0006957449368201196,3.5036706869107093e-10,4.5717291641267366e-07,1.9139135474688374e-05
32,0.9998936653137207,7.904258382041007e-06,5.3359990488388576e-06,8.214235276682302e-05,8.414083318974974e-11,1.2793407222488895e-08,1.1111929779872298e-05
33,0.9996834397315979,1.4154764357954264e-05,8.963907021097839e-06,0.0002784034004434943,2.7955829318138115e-10,1.0319604371034075e-07,1.4772013855690602e-05
34,0.9998918175697327,3.954026396968402e-06,2.952380327769788e-06,8.897474617697299e-05,1.1062432220265705e-10,3.420874250537054e-08,1.215657357533928e-05
35,0.9995332956314087,4.206679022900062e-06,2.2822994651505724e-05,0.00041212240466848016,3.280022642382363e-10,2.6368013550381875e-08,2.756574576778803e-05
36,0.9998307228088379,5.274062459648121e-06,4.035851361550158e-06,0.00014300085604190826,6.148742626166381e-11,3.0600764944210823e-07,1.671818426984828e-05
37,0.9999055862426758,1.7327992054561037e-06,8.264726147899637e-07,8.947969763539732e-05,5.008821916258066e-12,1.344259548119453e-08,2.230799282187945e-06
38,0.9995995163917542,3.4300760489713866e-06,5.8662831179390196e-06,0.0003811258648056537,4.0961543185114024e-11,1.0302905195658241e-07,9.852734365267679e-06
39,0.9997386932373047,1.9522551610862138e-06,2.1837295207660645e-05,0.0002267178351758048,1.3254194963785437e-10,7.795096479412678e-08,1.0613521226332523e-05
40,0.9999747276306152,3.712565103342058e-06,6.46030002826592e-07,1.840810182329733e-05,1.4364249373288729e-11,7.41426253725308e-09,2.520223688406986e-06
41,0.9984943270683289,9.637276889407076e-06,7.897755858721212e-05,0.0013784492621198297,1.724090870069972e-09,2.1601279058813816e-06,3.656464468804188e-05
42,0.9996891617774963,3.364378062542528e-05,6.043990197213134e-06,0.00025354811805300415,6.852901579534887e-10,4.2022102206829e-06,1.3067893632978667e-05
43,0.9993392825126648,2.8527234462671913e-05,4.453901510714786e-06,0.00010830644896486774,3.2203772981631573e-09,1.9366407286725007e-06,0.000517320993822068
44,0.9984204769134521,3.56580967491027e-05,5.062579475634266e-06,0.0014519373653456569,4.317247670471147e-10,1.2516306924226228e-05,7.43011332815513e-05
45,0.9994555711746216,4.018675099359825e-06,5.842729933647206e-06,0.000533793936483562,3.751976593996398e-12,4.4795250175866386e-08,7.752701094432268e-07
46,0.9996700882911682,1.8457596524967812e-05,2.3517308363807388e-05,0.0002711529959924519,3.970911446882219e-11,1.5424701587107847e-06,1.531696761958301e-05
47,0.9999446868896484,3.0991373932920396e-05,3.2946290957625024e-06,1.0297811058990192e-05,8.15014462168806e-12,1.610352455827524e-07,1.055415123119019e-05
48,0.9997262954711914,1.7095619114115834e-05,5.551919002755312e-06,0.0002357201447011903,1.1156284229763003e-10,7.612406989210285e-06,7.407608791254461e-06
49,0.9998130798339844,1.4837270327916485e-06,4.634721790353069e-06,0.00014645409828517586,2.3977342680781e-11,1.0231858027509588e-07,3.438968997215852e-05
50,0.9947594404220581,3.0288067591754952e-06,5.07494987687096e-05,0.005176002159714699,4.990696744755496e-10,4.3075775124634674e-07,1.0363998626417015e-05
51,0.9998993873596191,2.8406386263668537e-05,8.955164958024397e-06,5.266676453175023e-05,4.078214502212241e-11,4.1316638998978306e-07,1.0284546078764834e-05
52,0.9995242357254028,4.77250864605594e-07,1.1737313798221294e-05,0.0004234069201629609,9.64991420104866e-10,4.823489518912538e-08,3.9840724639361724e-05
53,0.9994937181472778,2.0085977666894905e-05,8.15703060652595e-06,0.00011991805513389409,4.536243825015163e-09,8.233142807512195e-07,0.00035730889067053795
54,0.9979007840156555,7.48507518437691e-05,1.0691020179365296e-05,0.0019082133658230305,1.9466628309317002e-09,2.219171165052103e-06,0.00010321683657821268
55,0.9996296167373657,6.404457963071764e-05,2.083525941998232e-06,0.00028505423688329756,1.289505585644335e-10,1.821407181523682e-06,1.772299947333522e-05
56,0.9978879690170288,5.0677590479608625e-05,3.33328680426348e-05,0.0019529196433722973,6.474417446611369e-09,2.6887781132245436e-05,4.8316265747416764e-05
57,0.999249279499054,2.398553078819532e-05,4.8755457100924104e-05,0.0004735926922876388,2.3201600640732067e-09,6.630908046645345e-06,0.00019748382328543812
58,0.999636173248291,9.738228982314467e-06,6.320853572105989e-05,0.0002714690053835511,2.547647370843009e-10,7.27376288978121e-07,1.8578648450784385e-05
59,0.9994799494743347,2.0267018044251017e-05,3.690228550112806e-05,0.0004252576327417046,2.4423946198837143e-10,3.00519377560704e-06,3.453532553976402e-05
60,0.9995180368423462,2.2231119146454148e-05,1.205315948027419e-05,0.00042971307993866503,1.2188650089228759e-10,1.335452111561608e-06,1.677980981185101e-05
61,0.9999279975891113,1.8534354921939666e-06,2.726922275542165e-06,6.397252582246438e-05,6.345199105722843e-12,2.4164492629097367e-08,3.4560814583528554e-06
62,0.9990086555480957,7.269051275216043e-05,1.0008162462327164e-05,0.0007770220399834216,3.2333549171426057e-09,1.1074941994593246e-06,0.0001304653997067362
63,0.9998044967651367,2.4562730686739087e-05,1.9490211343509145e-05,0.00012905464973300695,3.203544651775303e-10,9.578529898135457e-07,2.123700687661767e-05
64,0.9994970560073853,2.6433403036207892e-05,1.5155268556554802e-05,0.00033528971835039556,1.0236458791723635e-08,7.473753385056625e-07,0.00012515437265392393
65,0.9968592524528503,2.5910971089615487e-05,0.00024140809546224773,0.0027899921406060457,2.394908160674447e-10,3.148457835777663e-05,5.192930984776467e-05
66,0.9936633706092834,7.578115400974639e-06,6.402967846952379e-05,0.006232991348952055,1.284713779803326e-09,7.58460009819828e-06,2.4001963538466953e-05
67,0.9997568130493164,1.7295193174504675e-05,1.631887244002428e-05,0.00011585501488298178,1.44152537129294e-10,3.9975321897145477e-07,9.301453246735036e-05
68,0.9861055612564087,1.1809957868536003e-05,0.000491419923491776,0.013340524397790432,2.02030991935942e-09,4.07137713409611e-06,4.679312769440003e-05
69,0.9990406036376953,1.2852538020524662e-06,2.2898462702869438e-05,0.0009338146192021668,1.5454240664958263e-10,3.9284427089114615e-07,9.568265113557572e-07
