frames,neutral,happy,sad,angry,fearful,disgusted,surprised
0,0.9533684253692627,0.04660356789827347,2.1373745767050423e-05,1.3569083421316464e-06,2.379692276566203e-10,5.439069354906678e-07,4.832789272768423e-06
1,0.9892181158065796,0.010752708651125431,2.738781950029079e-05,5.829913902744011e-07,4.2978109959790345e-10,2.045598002098359e-08,1.2856854709752952e-06
2,0.688137412071228,0.3117755353450775,5.274396971799433e-05,7.000173241067387e-07,2.180603786428037e-07,6.405538215403794e-07,3.2625277526676655e-05
3,0.9266670942306519,0.07324326783418655,7.180798274930567e-05,5.866833816980943e-06,1.1843765079788682e-08,4.376224296720466e-06,7.596231171191903e-06
4,0.958206295967102,0.0416865311563015,0.00010218202805845067,1.1288371979389922e-06,4.672078279810421e-09,4.3836655549966963e-07,3.3675687518552877e-06
5,0.7152910232543945,0.2846430540084839,5.507357491296716e-05,1.0984113032463938e-06,2.255463904532462e-08,8.413670116169669e-07,8.711155714991037e-06
6,0.9079402685165405,0.09176093339920044,0.0002926997549366206,8.541223905922379e-07,1.1072322614325003e-08,4.5215020350042323e-07,4.51162532044691e-06
7,0.7525495290756226,0.2473113238811493,0.00011725735384970903,7.748540724605846e-07,7.822475112106986e-09,2.6125806584786915e-07,2.0794765077880584e-05
8,0.32801157236099243,0.2607855796813965,0.4064042270183563,0.0013349135406315327,1.1656960850814357e-05,0.0014766661915928125,0.001975325169041753
9,0.5016070008277893,0.497614324092865,4.785555211128667e-05,1.1143133633595426e-06,1.4017348348716041e-06,6.5613185142865404e-06,0.0007216052617877722
10,0.6842312216758728,0.31473228335380554,2.603963002911769e-05,9.669555112168382e-08,1.0129766678801388e-06,7.365762826339051e-07,0.0010088080307468772
11,0.8245255351066589,0.17504474520683289,0.00010091568401549011,2.1694638689950807e-06,1.568672445273478e-07,1.5619125406374224e-05,0.0003107965167146176
12,0.9970282316207886,0.00173195730894804,3.164998997817747e-05,8.471492037642747e-05,5.157476721251442e-07,6.5102344706247095e-06,0.0011164395837113261
13,0.9960733652114868,0.0030384419951587915,0.0006468110368587077,5.712817710445961e-06,3.2400643590335676e-07,1.857944909033904e-07,0.0002352306037209928
14,0.9810249209403992,0.0020038087386637926,0.01638983190059662,4.914046439807862e-05,2.036975502051064e-06,1.6793536588011193e-06,0.0005285970983095467
15,0.9983510375022888,0.0011730921687558293,7.299222488654777e-05,1.5972444771250593e-06,6.100652427676323e-08,1.939867075861912e-07,0.0004013357392977923
