frames,neutral,happy,sad,angry,fearful,disgusted,surprised
0,0.4654082953929901,0.36545121669769287,0.021414946764707565,0.06809020042419434,0.0003873204695992172,0.01060896459966898,0.06863919645547867
1,0.4530203640460968,0.25095441937446594,0.05496455356478691,0.15618227422237396,0.000663941667880863,0.002736309776082635,0.08147823810577393
2,0.6093366742134094,0.2364916354417801,0.009237311780452728,0.02496381849050522,5.5703108955640346e-05,7.125173578970134e-05,0.1198434978723526
3,0.785139799118042,0.0969906896352768,0.03292121738195419,0.034733522683382034,0.000165616613230668,0.00015309730952139944,0.049896229058504105
4,0.9930799603462219,7.659076572963386e-07,0.006816263776272535,1.0530736290093046e-05,1.502134416853096e-09,3.850923135928497e-08,9.23935222090222e-05
5,0.9930799603462219,7.659076572963386e-07,0.006816263776272535,1.0530736290093046e-05,1.502134416853096e-09,3.850923135928497e-08,9.23935222090222e-05
6,0.9978189468383789,4.66895926365396e-06,0.001643320545554161,3.825193925877102e-05,4.8264117147311936e-09,5.2465651378952316e-08,0.0004948799614794552
7,0.9450609087944031,4.553927283268422e-06,0.04837137088179588,6.637806654907763e-05,6.2707101733394666e-09,8.468946788298126e-08,0.006496726535260677
8,0.9872027635574341,2.5601464130886598e-06,0.012545633129775524,8.564290328649804e-05,6.293325860440291e-10,7.409490621057557e-08,0.00016335590044036508
9,0.9872027635574341,2.5601464130886598e-06,0.012545633129775524,8.564290328649804e-05,6.293325860440291e-10,7.409490621057557e-08,0.00016335590044036508
10,0.9193950295448303,2.031247504419298e-06,0.08023454248905182,0.00022002187324687839,3.133105164199179e-10,6.217924664042584e-08,0.00014831651060376316
11,0.9076219201087952,1.8257325109516387e-06,0.09187284857034683,0.0003591284330468625,4.0849271187859415e-10,5.464353947104428e-08,0.0001441204803995788
12,0.9961294531822205,2.9338282274693483e-06,0.002661174163222313,6.0922331613255665e-05,1.759153045455264e-09,1.1478750394644521e-07,0.001145424204878509
13,0.9961294531822205,2.9338282274693483e-06,0.002661174163222313,6.0922331613255665e-05,1.759153045455264e-09,1.1478750394644521e-07,0.001145424204878509
14,0.9936398267745972,2.6206546408502618e-06,0.005515404976904392,7.157354411901906e-05,4.175805035089297e-09,1.1309271741311022e-07,0.0007703728624619544
15,0.9760189056396484,1.2751562280755024e-05,0.02176707796752453,0.0012261872179806232,3.8649751843422564e-08,4.104914239633217e-07,0.0009745717397890985
16,0.9896382689476013,2.4704693259991473e-06,0.004742019809782505,0.00020366172248031944,5.1237268650083934e-08,2.1714957654239697e-07,0.005413473583757877
17,0.9890641570091248,4.109714609512594e-06,0.007418403401970863,0.0013789142249152064,4.281868370981101e-08,8.75858461313328e-07,0.002133568748831749
18,0.9976284503936768,0.00017106696031987667,0.0009049581130966544,0.0003855552931781858,2.835395775946381e-07,8.496096484122972e-07,0.000909032067283988
19,0.9976284503936768,0.00017106696031987667,0.0009049581130966544,0.0003855552931781858,2.835395775946381e-07,8.496096484122972e-07,0.000909032067283988
20,0.9824963212013245,1.834905742725823e-05,0.012526759877800941,0.0033261573407799006,1.3844098702975316e-06,9.299432122134021e-07,0.0016300467541441321
21,0.9843441843986511,3.55350821337197e-05,0.010184656828641891,0.0033970545046031475,8.616351578893955e-07,2.8162303351564333e-06,0.002034801756963134
